cve_id,description,published_date,cvss_score,vendor_raw,software_raw,vendor,software,software_version,operatig_system,source,reason,trigger,attacker_action,user_interaction,system_state,network_access,privilege,vulnerability_type,consequences
CVE-2023-45039,"A buffer copy without checking size of input vulnerability has been reported to affect several QNAP operating system versions. If exploited, the vulnerability could allow authenticated administrators to execute code via a network. We have already fixed the vulnerability in the following versions: QTS 5.1.4.2596 build 20231128 and later QuTS hero h5.1.4.2596 build 20231128 and later",2024-01-05T16:18:37.227Z,3.8,QNAP Systems Inc.,QTS,QNAP,QNAP operating system,Several versions before QTS 5.1.4.2596 and QuTS hero h5.1.4.2596,QNAP operating system,Buffer copy without checking size of input,Improper input validation,Authenticated administrators executing code via a network,Execute code via a network,No,The system must be running on affected QNAP OS versions before the fixed versions specified,Network,Authenticated administrator,Buffer overflow,Allows code execution
CVE-2023-45559,An issue in Tamaki_hamanoki Line v.13.6.1 allows attackers to send crafted notifications via leakage of the channel access token.,2024-01-03T00:00:00,,,,Tamaki_hamanoki,Line,v.13.6.1,N/A,Channel access token,Leakage of the channel access token,Sending crafted notifications,Send crafted notifications,No,,Remote,N/A,Information Leakage,Unauthorized sending of notifications
CVE-2023-45892,An issue discovered in the Order and Invoice pages in Floorsight Insights Q3 2023 allows an unauthenticated remote attacker to view sensitive customer information.,2024-01-02T00:00:00,,,,Floorsight,Floorsight Insights,Q3 2023,N/A,Order and Invoice pages,Improper access control,Accessing Order and Invoice pages without authentication,Access the Order and Invoice pages,No,,Remote,Unauthenticated,Information Disclosure,View sensitive customer information
CVE-2023-45722,HCL DRYiCE MyXalytics is impacted by path traversal arbitrary file read vulnerability because it uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory. The product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory. Potential exploits can completely disrupt or take over the application.,2024-01-03T02:59:05.745Z,8.8,HCL Software,DRYiCE MyXalytics,HCL,DRYiCE MyXalytics,N/A,N/A,Path traversal handling mechanism,Uses external input to construct a pathname without proper neutralization of special elements,External input used to construct a pathname,Provide external input that manipulates the pathname to access files outside the restricted directory,No,,"Local or Remote, depending on the system setup",Unauthenticated or low privilege,Path traversal arbitrary file read,Potential disruption or takeover of the application
CVE-2023-51441,"** UNSUPPORTED WHEN ASSIGNED ** Improper Input Validation vulnerability in Apache Axis allowed users with access to the admin service to perform possible SSRF This issue affects Apache Axis: through 1.3. As Axis 1 has been EOL we recommend you migrate to a different SOAP engine, such as Apache Axis 2/Java. Alternatively you could use a build of Axis with the patch from https://github.com/apache/axis-axis1-java/commit/685c309febc64aa393b2d64a05f90e7eb9f73e06 applied. The Apache Axis project does not expect to create an Axis 1.x release fixing this problem, though contributors that would like to work towards this are welcome.",2024-01-06T11:59:37.769Z,,Apache Software Foundation,Apache Axis,Apache,Apache Axis,through 1.3,N/A,admin service,Improper Input Validation,access to the admin service,perform possible SSRF,No,Requires access to the admin service,Remote,Authenticated users with administrative access,Server Side Request Forgery (SSRF),Potential unauthorized server requests
CVE-2023-51154,Jizhicms v2.5 was discovered to contain an arbitrary file download vulnerability via the component /admin/c/PluginsController.php.,2024-01-04T00:00:00,,,,Jizhicms,Jizhicms,v2.5,N/A,/admin/c/PluginsController.php,Improper validation or access control that allows arbitrary file download,Accessing the /admin/c/PluginsController.php component with crafted requests,Exploit the arbitrary file download via crafted requests,No,,Remote,"Depends on context, potentially none",Arbitrary file download,Unauthorized file download from the server
CVE-2023-51277,nbviewer-app (aka Jupyter Notebook Viewer) before 0.1.6 has the get-task-allow entitlement for release builds.,2024-01-05T00:00:00,,,,Jupyter,nbviewer-app,before 0.1.6,N/A,get-task-allow entitlement,Improper restriction for release builds,release build execution,,No,Release build of nbviewer-app,Local,Unknown,Entitlement misconfiguration,Potential unauthorized code execution or system access
CVE-2023-51701,fastify-reply-from is a Fastify plugin to forward the current HTTP request to another server. A reverse proxy server built with `@fastify/reply-from` could misinterpret the incoming body by passing an header `ContentType: application/json ; charset=utf-8`. This can lead to bypass of security checks. This vulnerability has been patched in '@fastify/reply-from` version 9.6.0.,2024-01-08T13:55:05.071Z,5.3,fastify,fastify-reply-from,Fastify,fastify-reply-from,prior to 9.6.0,N/A,'@fastify/reply-from' reverse proxy server,misinterpretation of the incoming body due to ContentType header,passing a ContentType header with 'application/json; charset=utf-8',send HTTP requests with specific ContentType headers,No,Reverse proxy server configuration,Remote,Unauthenticated,Security check bypass,Potential bypass of security checks leading to improper handling of requests
CVE-2023-51812,Tenda AX3 v16.03.12.11 was discovered to contain a remote code execution (RCE) vulnerability via the list parameter at /goform/SetNetControlList.,2024-01-04T00:00:00,,,,Tenda,AX3,v16.03.12.11,N/A,list parameter at /goform/SetNetControlList,Improper validation of the list parameter,Exploitation through the list parameter,Execute arbitrary code remotely via list parameter,No,,Remote,Unauthenticated,Remote Code Execution (RCE),Arbitrary code execution can compromise the device
CVE-2023-51785,"Deserialization of Untrusted Data vulnerability in Apache InLong.This issue affects Apache InLong: from 1.7.0 through 1.9.0, the attackers can make a arbitrary file read attack using mysql driver. Users are advised to upgrade to Apache InLong's 1.10.0 or cherry-pick [1] to solve it. [1] https://github.com/apache/inlong/pull/9331",2024-01-03T09:36:24.189Z,,Apache Software Foundation,Apache InLong,Apache,InLong,from 1.7.0 through 1.9.0,N/A,Deserialization process,Deserialization of untrusted data,Use of MySQL driver,Make arbitrary file read attack,No,,Remote,Unauthenticated,Deserialization of Untrusted Data,Potential arbitrary file read
CVE-2023-34326,"The caching invalidation guidelines from the AMD-Vi specification (48882—Rev 3.07-PUB—Oct 2022) is incorrect on some hardware, as devices will malfunction (see stale DMA mappings) if some fields of the DTE are updated but the IOMMU TLB is not flushed. Such stale DMA mappings can point to memory ranges not owned by the guest, thus allowing access to unindented memory regions.",2024-01-05T16:30:57.225Z,,Xen,Xen,AMD,AMD-Vi,48882—Rev 3.07-PUB—Oct 2022,N/A,IOMMU TLB not flushed,Incorrect caching invalidation guidelines,Some fields of the DTE are updated without flushing the IOMMU TLB,Access unintended memory regions through stale DMA mappings,No,Devices malfunction if some fields of the DTE are updated without flushing the IOMMU TLB,None,Requires DMA access,Security vulnerability due to stale DMA mappings,Access to unintended memory regions
CVE-2023-34087,An improper array index validation vulnerability exists in the EVCD var len parsing functionality of GTKWave 3.3.115. A specially crafted .evcd file can lead to arbitrary code execution. A victim would need to open a malicious file to trigger this vulnerability.,2024-01-08T14:47:54.135Z,7.8,GTKWave,GTKWave,GTKWave,GTKWave,3.3.115,N/A,EVCD var len parsing functionality,improper array index validation,opening a maliciously crafted .evcd file,create a specially crafted .evcd file,Victim needs to open a malicious file,,Local,N/A,Improper array index validation,Arbitrary code execution
CVE-2023-34321,"Arm provides multiple helpers to clean & invalidate the cache for a given region. This is, for instance, used when allocating guest memory to ensure any writes (such as the ones during scrubbing) have reached memory before handing over the page to a guest. Unfortunately, the arithmetics in the helpers can overflow and would then result to skip the cache cleaning/invalidation. Therefore there is no guarantee when all the writes will reach the memory.",2024-01-05T16:17:17.379Z,,Xen,Xen,Arm,N/A,N/A,N/A,multiple helpers to clean & invalidate the cache,arithmetic overflow in the helpers,using the helpers to clean & invalidate cache when allocating guest memory,N/A,No,cache cleaning/invalidation for a given region,N/A,N/A,Cache handling vulnerability,No guarantee when all the writes will reach the memory
CVE-2023-34322,"For migration as well as to work around kernels unaware of L1TF (see XSA-273), PV guests may be run in shadow paging mode. Since Xen itself needs to be mapped when PV guests run, Xen and shadowed PV guests run directly the respective shadow page tables. For 64-bit PV guests this means running on the shadow of the guest root page table. In the course of dealing with shortage of memory in the shadow pool associated with a domain, shadows of page tables may be torn down. This tearing down may include the shadow root page table that the CPU in question is presently running on. While a precaution exists to supposedly prevent the tearing down of the underlying live page table, the time window covered by that precaution isn't large enough.",2024-01-05T16:18:01.363Z,,Xen,Xen,Xen,Xen Hypervisor,N/A,N/A,Shadow paging mode,Shortage of memory in the shadow pool associated with a domain,Dealing with memory shortage in the shadow pool,N/A,No,Running shadow paging mode for 64-bit PV guests,N/A,N/A,Resource management issue,Possible tearing down of the shadow root page table currently in use
CVE-2023-34323,"When a transaction is committed, C Xenstored will first check the quota is correct before attempting to commit any nodes. It would be possible that accounting is temporarily negative if a node has been removed outside of the transaction. Unfortunately, some versions of C Xenstored are assuming that the quota cannot be negative and are using assert() to confirm it. This will lead to C Xenstored crash when tools are built without -DNDEBUG (this is the default).",2024-01-05T16:30:32.305Z,,Xen,Xen,C Xenstored,C Xenstored,some versions,N/A,Quota checking logic,Assuming that the quota cannot be negative,Transaction committed with negative quota,N/A,No,Build tools without -DNDEBUG,N/A,N/A,Assertion Failure leading to crash,C Xenstored crash
CVE-2023-34324,"Closing of an event channel in the Linux kernel can result in a deadlock. This happens when the close is being performed in parallel to an unrelated Xen console action and the handling of a Xen console interrupt in an unprivileged guest. The closing of an event channel is e.g. triggered by removal of a paravirtual device on the other side. As this action will cause console messages to be issued on the other side quite often, the chance of triggering the deadlock is not neglectable. Note that 32-bit Arm-guests are not affected, as the 32-bit Linux kernel on Arm doesn't use queued-RW-locks, which are required to trigger the issue (on Arm32 a waiting writer doesn't block further readers to get the lock).",2024-01-05T16:30:45.807Z,,Linux,Linux,Linux,Linux kernel,N/A,Linux,event channel closing mechanism,race condition due to parallel operations with Xen console interrupt handling,removal of a paravirtual device,perform the closing of an event channel in parallel with a Xen console action,No,32-bit Arm-guests are not affected,Local,Unprivileged guest,Deadlock,System deadlock
CVE-2023-34325,"[This CNA information record relates to multiple CVEs; the text explains which aspects/vulnerabilities correspond to which CVE.] libfsimage contains parsing code for several filesystems, most of them based on grub-legacy code. libfsimage is used by pygrub to inspect guest disks. Pygrub runs as the same user as the toolstack (root in a priviledged domain). At least one issue has been reported to the Xen Security Team that allows an attacker to trigger a stack buffer overflow in libfsimage. After further analisys the Xen Security Team is no longer confident in the suitability of libfsimage when run against guest controlled input with super user priviledges. In order to not affect current deployments that rely on pygrub patches are provided in the resolution section of the advisory that allow running pygrub in deprivileged mode. CVE-2023-4949 refers to the original issue in the upstream grub project (""An attacker with local access to a system (either through a disk or external drive) can present a modified XFS partition to grub-legacy in such a way to exploit a memory corruption in grub’s XFS file system implementation."") CVE-2023-34325 refers specifically to the vulnerabilities in Xen's copy of libfsimage, which is decended from a very old version of grub.",2024-01-05T16:31:09.660Z,,Xen,Xen,Xen,libfsimage,,N/A,libfsimage parsing code,uses grub-legacy code and is not suitable for guest-controlled input with super user privileges,presenting a modified XFS partition to grub-legacy,trigger a stack buffer overflow,"Yes, presenting a modified XFS partition",pygrub running with root privileges,Local,Super user privileges,"Stack buffer overflow, memory corruption",Exploiting a memory corruption in grub’s XFS file system implementation
CVE-2023-41288,"An OS command injection vulnerability has been reported to affect Video Station. If exploited, the vulnerability could allow users to execute commands via a network. We have already fixed the vulnerability in the following version: Video Station 5.7.2 ( 2023/11/23 ) and later",2024-01-05T16:19:10.920Z,8.8,QNAP Systems Inc.,Video Station,Unknown,Video Station,before 5.7.2,N/A,OS command handling in Video Station,Improper input validation allowing OS command injection,Sending crafted commands over the network,Exploit the OS command injection,No,,Remote,"Unauthenticated or low privilege, depending on configuration",OS command injection vulnerability,Allows for execution of arbitrary commands via network
CVE-2023-41780,"There is an unsafe DLL loading vulnerability in ZTE ZXCLOUD iRAI. Due to the program failed to adequately validate the user's input, an attacker could exploit this vulnerability to escalate local privileges.",2024-01-03T01:52:10.749Z,6.4,ZTE,ZXCLOUD iRAI,ZTE,ZXCLOUD iRAI,N/A,N/A,DLL loading mechanism,program failed to adequately validate the user's input,unsafe DLL loading,exploit the vulnerability to escalate local privileges,No,,Local,None,unsafe DLL loading,escalate local privileges
CVE-2023-41710,User-defined script code could be stored for a upsell related shop URL. This code was not correctly sanitized when adding it to DOM. Attackers could lure victims to user accounts with malicious script code and make them execute it in the context of a trusted domain. We added sanitization for this content. No publicly available exploits are known.,2024-01-08T09:04:38.608Z,5.4,Open-Xchange GmbH,OX App Suite,Unknown,Shop Platform,N/A,N/A,User-defined script code handling,Lack of proper input sanitization,Adding user-defined script code to DOM,Lure victims to accounts with malicious script,"Yes, requires user to visit malicious link",None specified,Local or Remote,Unauthenticated,Cross-Site Scripting (XSS),Execution of malicious scripts in the context of a trusted domain
CVE-2023-33037,Cryptographic issue in Automotive while unwrapping the key secs2d and verifying with RPMB data.,2024-01-02T05:38:32.164Z,7.1,"Qualcomm, Inc.",Snapdragon,Automotive,Unspecified,Unspecified,Unspecified,Cryptographic function,Unwrapping the key secs2d and verifying with RPMB data,Unwrapping the key secs2d,Exploit the cryptographic issue,No,Unspecified,Unspecified,Unspecified,Cryptographic issue,Potential unauthorized access or data integrity issues
CVE-2023-33108,Memory corruption in Graphics Driver when destroying a context with KGSL_GPU_AUX_COMMAND_TIMELINE objects queued.,2024-01-02T05:38:40.125Z,8.4,"Qualcomm, Inc.",Snapdragon,,Graphics Driver,,,KGSL_GPU_AUX_COMMAND_TIMELINE objects,Memory corruption when destroying a context,destroying a context with KGSL_GPU_AUX_COMMAND_TIMELINE objects queued,Exploit graphics driver to initiate context destruction with specific objects queued,No,,,,Memory Corruption,Potential to cause a system crash or execute arbitrary code
CVE-2023-33110,"The session index variable in PCM host voice audio driver initialized before PCM open, accessed during event callback from ADSP and reset during PCM close may lead to race condition between event callback - PCM close and reset session index causing memory corruption.",2024-01-02T05:38:43.225Z,7.8,"Qualcomm, Inc.",Snapdragon,N/A,PCM host voice audio driver,N/A,N/A,session index variable,"Race condition between event callback, PCM close and reset session index",Event callback from ADSP and PCM close,N/A,No,PCM open and close states,Local,N/A,Race condition leading to memory corruption,Memory corruption
CVE-2023-33032,Memory corruption in TZ Secure OS while requesting a memory allocation from TA region.,2024-01-02T05:38:28.022Z,9.3,"Qualcomm, Inc.",Snapdragon,N/A,TZ Secure OS,N/A,N/A,TA region memory allocation request,Memory corruption during allocation,requesting a memory allocation from TA region,exploit memory corruption,No,N/A,Local,Authenticated,Memory Corruption,Potential unauthorized code execution or system crash
CVE-2023-46906,"juzaweb <= 3.4 is vulnerable to Incorrect Access Control, resulting in an application outage after a 500 HTTP status code. The payload in the timezone field was not correctly validated.",2024-01-09T00:00:00,,,,N/A,juzaweb,<= 3.4,N/A,timezone field,The payload in the timezone field was not correctly validated,Incorrect payload in timezone field,Manipulate payload in timezone field,No,N/A,Remote,Unauthenticated,Incorrect Access Control,Application outage after a 500 HTTP status code
CVE-2023-46835,"The current setup of the quarantine page tables assumes that the quarantine domain (dom_io) has been initialized with an address width of DEFAULT_DOMAIN_ADDRESS_WIDTH (48) and hence 4 page table levels. However dom_io being a PV domain gets the AMD-Vi IOMMU page tables levels based on the maximum (hot pluggable) RAM address, and hence on systems with no RAM above the 512GB mark only 3 page-table levels are configured in the IOMMU. On systems without RAM above the 512GB boundary amd_iommu_quarantine_init() will setup page tables for the scratch page with 4 levels, while the IOMMU will be configured to use 3 levels only, resulting in the last page table directory (PDE) effectively becoming a page table entry (PTE), and hence a device in quarantine mode gaining write access to the page destined to be a PDE. Due to this page table level mismatch, the sink page the device gets read/write access to is no longer cleared between device assignment, possibly leading to data leaks.",2024-01-05T16:34:49.531Z,,Xen,Xen,N/A,N/A,current setup,N/A,quarantine page tables initialized with DEFAULT_DOMAIN_ADDRESS_WIDTH,Page table level mismatch assumes wrong domain having address width,Systems with no RAM above the 512GB mark have mismatched page-table levels,N/A,No,Page tables confgured with 4 levels; IOMMU configured for 3 levels.,Local,N/A,Data Leak,Data leaks due to uncleared sink page during device assignment
CVE-2023-46836,"The fixes for XSA-422 (Branch Type Confusion) and XSA-434 (Speculative Return Stack Overflow) are not IRQ-safe. It was believed that the mitigations always operated in contexts with IRQs disabled. However, the original XSA-254 fix for Meltdown (XPTI) deliberately left interrupts enabled on two entry paths; one unconditionally, and one conditionally on whether XPTI was active. As BTC/SRSO and Meltdown affect different CPU vendors, the mitigations are not active together by default. Therefore, there is a race condition whereby a malicious PV guest can bypass BTC/SRSO protections and launch a BTC/SRSO attack against Xen.",2024-01-05T16:34:59.036Z,,Xen,Xen,N/A,Xen,N/A,N/A,Fixes for XSA-422 and XSA-434,Mitigations not IRQ-safe and interrupts enabled on certain entry paths,A malicious PV guest action,Bypass BTC/SRSO protections,No,"XPTI active or inactive, IRQs enabled in certain contexts",Local,Malicious PV guest,Race condition,Bypass BTC/SRSO protections and launch an attack against Xen
CVE-2023-46953,"SQL Injection vulnerability in ABO.CMS v.5.9.3, allows remote attackers to execute arbitrary code via the d parameter in the Documents module.",2024-01-06T00:00:00,,,,ABO.CMS,ABO.CMS,5.9.3,N/A,Documents module,Improper handling of input in the d parameter,via the d parameter in the Documents module,execute arbitrary code,No,N/A,Remote,Unauthenticated,SQL Injection,Execute arbitrary code on the server
CVE-2023-46308,"In Plotly plotly.js before 2.25.2, plot API calls have a risk of __proto__ being polluted in expandObjectPaths or nestedProperty.",2024-01-03T00:00:00,,,,Plotly,plotly.js,before 2.25.2,N/A,expandObjectPaths or nestedProperty,risk of __proto__ being polluted,plot API calls,N/A,No,N/A,N/A,N/A,Prototype Pollution,Potential alteration of the object prototype leading to unpredictable behavior or security issues
CVE-2023-46738,"CubeFS is an open-source cloud-native file storage system. A security vulnerability was found in CubeFS HandlerNode in versions prior to 3.3.1 that could allow authenticated users to send maliciously-crafted requests that would crash the ObjectNode and deny other users from using it. The root cause was improper handling of incoming HTTP requests that could allow an attacker to control the ammount of memory that the ObjectNode would allocate. A malicious request could make the ObjectNode allocate more memory that the machine had available, and the attacker could exhaust memory by way of a single malicious request. An attacker would need to be authenticated in order to invoke the vulnerable code with their malicious request and have permissions to delete objects. In addition, the attacker would need to know the names of existing buckets of the CubeFS deployment - otherwise the request would be rejected before it reached the vulnerable code. As such, the most likely attacker is an inside user or an attacker that has breached the account of an existing user in the cluster. The issue has been patched in v3.3.1. There is no other mitigation besides upgrading.",2024-01-03T15:35:16.372Z,6.5,cubefs,cubefs,CubeFS,CubeFS HandlerNode,prior to 3.3.1,N/A,improper handling of incoming HTTP requests,could allow an attacker to control the amount of memory that the ObjectNode would allocate,send maliciously-crafted requests,send maliciously-crafted requests to crash the ObjectNode,No,attacker must know the names of existing buckets of the CubeFS deployment; attacker needs permissions to delete objects,Internal Network,Authenticated user,Denial of Service (DoS),Crash the ObjectNode causing denial of service to other users
CVE-2023-52124,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in ShapedPlugin LLC WP Tabs – Responsive Tabs Plugin for WordPress allows Stored XSS.This issue affects WP Tabs – Responsive Tabs Plugin for WordPress: from n/a through 2.2.0.,2024-01-05T11:17:08.785Z,6.5,ShapedPlugin LLC,WP Tabs – Responsive Tabs Plugin for WordPress,ShapedPlugin LLC,WP Tabs – Responsive Tabs Plugin for WordPress,through 2.2.0,N/A,Web Page Generation,Improper Neutralization of Input,n/a,Inject malicious scripts that are stored and executed on web pages,Yes,,Remote,Authenticated,Cross-site Scripting (XSS),Execution of malicious scripts in the context of the user's browser
CVE-2023-52128,"Cross-Site Request Forgery (CSRF) vulnerability in WhiteWP White Label – WordPress Custom Admin, Custom Login Page, and Custom Dashboard.This issue affects White Label – WordPress Custom Admin, Custom Login Page, and Custom Dashboard: from n/a through 2.9.0.",2024-01-05T08:49:17.332Z,4.3,WhiteWP,"White Label – WordPress Custom Admin, Custom Login Page, and Custom Dashboard",WhiteWP,"White Label – WordPress Custom Admin, Custom Login Page, and Custom Dashboard",from n/a through 2.9.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Remote,Unauthenticated,Cross-Site Request Forgery (CSRF),Potential execution of unauthorized actions on behalf of authenticated users
CVE-2023-52190,Exposure of Sensitive Information to an Unauthorized Actor vulnerability in WP Swings Coupon Referral Program.This issue affects Coupon Referral Program: from n/a through 1.7.2.,2024-01-08T19:02:00.906Z,7.5,WP Swings,Coupon Referral Program,WP Swings,Coupon Referral Program,from n/a through 1.7.2,N/A,Coupon Referral Program,Improper access control allowing unauthorized actors access,Unauthorized actor attempts to access sensitive information,Gain access to sensitive information without proper authorization,No,,Remote,Unauthenticated,Exposure of Sensitive Information to an Unauthorized Actor,Sensitive information may be accessed by unauthorized actors
CVE-2023-52271,The wsftprm.sys kernel driver 2.0.0.0 in Topaz Antifraud allows low-privileged attackers to kill any (Protected Process Light) process via an IOCTL (which will be named at a later time).,2024-01-08T00:00:00,,,,Topaz,Antifraud,2.0.0.0,Windows,wsftprm.sys kernel driver,allows low-privileged access to terminate processes,use of an IOCTL,kill any (Protected Process Light) process,No,,Local,Low-privileged,Privilege escalation,Allows attackers to terminate protected system processes
CVE-2023-52322,ecrire/public/assembler.php in SPIP before 4.1.13 and 4.2.x before 4.2.7 allows XSS because input from _request() is not restricted to safe characters such as alphanumerics.,2024-01-04T00:00:00,,,,SPIP,SPIP,before 4.1.13 and 4.2.x before 4.2.7,N/A,ecrire/public/assembler.php,input from _request() is not restricted to safe characters,input of unsafe characters through _request(),inject malicious scripts through unsafe characters,Yes,,Remote,Unauthenticated,Cross-Site Scripting (XSS),Malicious scripts execution in user's browser
CVE-2023-52178,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability in MojofyWP WP Affiliate Disclosure allows Stored XSS.This issue affects WP Affiliate Disclosure: from n/a through 1.2.7.,2024-01-05T07:51:39.388Z,6.5,MojofyWP,WP Affiliate Disclosure,MojofyWP,WP Affiliate Disclosure,from n/a through 1.2.7,N/A,Improper Neutralization of Input During Web Page Generation,Improper input neutralization for web page generation,Malicious input stored in the application,Inject malicious scripts,"Yes, user must visit the page containing the stored script",,Remote,Unauthenticated,Cross-site Scripting (XSS),Stored XSS allows execution of scripts in the context of authenticated users
CVE-2023-52207,Deserialization of Untrusted Data vulnerability in SVNLabs Softwares HTML5 MP3 Player with Playlist Free.This issue affects HTML5 MP3 Player with Playlist Free: from n/a through 3.0.0.,2024-01-08T19:07:42.153Z,9.1,SVNLabs Softwares,HTML5 MP3 Player with Playlist Free,SVNLabs Softwares,HTML5 MP3 Player with Playlist Free,from n/a through 3.0.0,N/A,N/A,Deserialization of untrusted data,N/A,N/A,N/A,N/A,N/A,N/A,Deserialization of Untrusted Data,Potential execution of arbitrary code or other malicious actions
CVE-2023-52143,Exposure of Sensitive Information to an Unauthorized Actor vulnerability in Naa986 WP Stripe Checkout.This issue affects WP Stripe Checkout: from n/a through 1.2.2.37.,2024-01-05T11:08:23.418Z,7.5,Naa986,WP Stripe Checkout,Naa986,WP Stripe Checkout,from n/a through 1.2.2.37,N/A,Sensitive Information Exposure,Exposure to an Unauthorized Actor,Access by an Unauthorized Actor,Gain access to sensitive information,No,N/A,Remote,Potentially Unauthenticated,Exposure of Sensitive Information,Unauthorized access to sensitive information
CVE-2023-52323,"PyCryptodome and pycryptodomex before 3.19.1 allow side-channel leakage for OAEP decryption, exploitable for a Manger attack.",2024-01-05T00:00:00,,,,,PyCryptodome and pycryptodomex,before 3.19.1,,OAEP decryption,Side-channel leakage,Use of vulnerable versions allowing side-channel leakage,Exploit side-channel leakage for a Manger attack,No,,Local,None,Side-channel vulnerability,Potential successful execution of a Manger attack
CVE-2023-52218,Deserialization of Untrusted Data vulnerability in Anton Bond Woocommerce Tranzila Payment Gateway.This issue affects Woocommerce Tranzila Payment Gateway: from n/a through 1.0.8.,2024-01-08T17:34:19.812Z,10.0,Anton Bond,Woocommerce Tranzila Payment Gateway,Anton Bond,Woocommerce Tranzila Payment Gateway,from n/a through 1.0.8,N/A,Deserialization of untrusted data,Processing of untrusted serialized data,Receiving untrusted serialized data,Send or craft untrusted serialized data to the application,No,,Remote,Unauthenticated,Deserialization of Untrusted Data,Potential execution of arbitrary code or commands
CVE-2023-52151,"Exposure of Sensitive Information to an Unauthorized Actor vulnerability in Uncanny Automator, Uncanny Owl Uncanny Automator – Automate everything with the #1 no-code automation and integration plugin.This issue affects Uncanny Automator – Automate everything with the #1 no-code automation and integration plugin: from n/a through 5.1.0.2.",2024-01-05T10:52:27.352Z,5.3,"Uncanny Automator, Uncanny Owl",Uncanny Automator – Automate everything with the #1 no-code automation and integration plugin,Uncanny Owl,Uncanny Automator - Automate everything with the #1 no-code automation and integration plugin,n/a through 5.1.0.2,N/A,,,,,,,,,Exposure of Sensitive Information to an Unauthorized Actor,Unauthorized access to sensitive information
CVE-2023-52215,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in UkrSolution Simple Inventory Management – just scan barcode to manage products and orders. For WooCommerce.This issue affects Simple Inventory Management – just scan barcode to manage products and orders. For WooCommerce: from n/a through 1.5.1.,2024-01-08T17:42:11.468Z,9.3,UkrSolution,Simple Inventory Management – just scan barcode to manage products and orders. For WooCommerce,UkrSolution,Simple Inventory Management – just scan barcode to manage products and orders. For WooCommerce,n/a through 1.5.1,N/A,SQL Command,Improper Neutralization of Special Elements used in an SQL Command,Execution of SQL command containing unneutralized special elements,Inject malicious SQL code,No,N/A,Remote,Authenticated,SQL Injection,"Unauthorized SQL Command execution, potential data breach or manipulation"
CVE-2023-52311,PaddlePaddle before 2.6.0 has a command injection in _wget_download. This resulted in the ability to execute arbitrary commands on the operating system.,2024-01-03T08:15:04.927Z,9.6,PaddlePaddle,PaddlePaddle,PaddlePaddle,PaddlePaddle,before 2.6.0,N/A,_wget_download,command injection,N/A,execute arbitrary commands on the operating system,No,N/A,Local,N/A,Command Injection,Ability to execute arbitrary commands on the operating system
CVE-2023-42797,"A vulnerability has been identified in CP-8031 MASTER MODULE (All versions < CPCI85 V05.20), CP-8050 MASTER MODULE (All versions < CPCI85 V05.20). The network configuration service of affected devices contains a flaw in the conversion of ipv4 addresses that could lead to an uninitialized variable being used in succeeding validation steps. By uploading specially crafted network configuration, an authenticated remote attacker could be able to inject commands that are executed on the device with root privileges during device startup.",2024-01-09T09:59:43.539Z,6.6,Siemens,CP-8031 MASTER MODULE,Siemens,"CP-8031 MASTER MODULE, CP-8050 MASTER MODULE",All versions < CPCI85 V05.20,N/A,network configuration service,a flaw in the conversion of ipv4 addresses,uploading specially crafted network configuration,inject commands,No,during device startup,Remote,Authenticated,Command Injection,Commands executed on the device with root privileges
CVE-2023-42358,"An issue was discovered in O-RAN Software Community ric-plt-e2mgr in the G-Release environment, allows remote attackers to cause a denial of service (DoS) via a crafted request to the E2Manager API component.",2024-01-03T00:00:00,,,,O-RAN Software Community,ric-plt-e2mgr,G-Release environment,N/A,E2Manager API component,N/A,crafted request to the E2Manager API component,send a crafted request to the E2Manager API component,No,,Remote,Unauthenticated,Denial of Service (DoS),Denial of service
CVE-2023-26157,Versions of the package libredwg before 0.12.5.6384 are vulnerable to Denial of Service (DoS) due to an out-of-bounds read involving section->num_pages in decode_r2007.c.,2024-01-02T05:00:02.461Z,5.5,,libredwg,N/A,libredwg,before 0.12.5.6384,N/A,section->num_pages in decode_r2007.c,out-of-bounds read,N/A,N/A,No,N/A,Local,N/A,Denial of Service (DoS),Denial of Service (DoS)
CVE-2023-26159,"Versions of the package follow-redirects before 1.15.4 are vulnerable to Improper Input Validation due to the improper handling of URLs by the url.parse() function. When new URL() throws an error, it can be manipulated to misinterpret the hostname. An attacker could exploit this weakness to redirect traffic to a malicious site, potentially leading to information disclosure, phishing attacks, or other security breaches.",2024-01-02T05:00:00.659Z,7.3,,follow-redirects,,follow-redirects,before 1.15.4,,url.parse() function,improper handling of URLs,use of the url.parse() function,manipulate URL to misinterpret hostname,Yes,,Remote,Unauthenticated,Improper Input Validation,"Information disclosure, phishing attacks, or other security breaches"
